gene_id,GFP+_ribo_A,GFP+_ribo_B,GFP+_rna_A,GFP-_rna_A,GFP+_rna_B,GFP-_rna_B
ENSG00000162426.14,0.022899000000000003,0.02062,1.5986639999999999,2.379159,1.765864,1.505908
ENSG00000162430.16,0.022865,0.051224000000000006,21.304043,18.838512,21.847596,23.747970000000002
ENSG00000162433.14,0.111947,0.483707,4.322675,6.260790999999999,6.417231,9.639658
ENSG00000162434.11,0.167605,0.5392760000000001,17.970429,26.666685,19.1862,23.955054000000004
ENSG00000162437.14,0.01395,0.022114,4.334754,2.095961,3.4508199999999998,3.758603
ENSG00000162441.11,1.002499,1.754086,22.241092999999996,11.197311,22.565631,22.02268
ENSG00000162458.12,0.069976,0.042896000000000004,11.81163,22.053610999999997,7.117684,10.079324000000002
ENSG00000162461.7,0.002439,0.015560000000000001,1.572903,1.175106,0.729286,1.044508
ENSG00000162490.6,0.001692,0,0.023288,0.968577,0.081824,0.295425
ENSG00000162493.16,0.040852,0.017066,0.084275,5.268608,0.26955799999999996,1.677883
ENSG00000162496.8,0.096063,0.192411,18.891716,36.291785999999995,26.851318000000003,54.674515
ENSG00000162511.7,0.004057,0.011729,1.7404,0.854877,1.958565,1.480979
ENSG00000162512.15,0.012748,0.027733,1.145213,9.025278,1.9185510000000001,4.998903
ENSG00000162517.12,0.519013,0.689231,24.405714,22.851824999999998,23.670788,23.955080000000002
ENSG00000162521.18,5.767264000000001,9.157293,104.318064,68.55447600000002,98.44994900000002,104.390852
ENSG00000162522.10,0.008485,0.024161,15.408339,24.623337000000003,13.513931000000001,16.118062000000002
ENSG00000162542.13,0.030740999999999997,0.046446,5.629969000000001,7.164563999999999,4.502777,8.348714
ENSG00000162543.5,0.005265,0.007248,2.597581,1.106221,3.550893,2.636519
ENSG00000162545.5,0.39275400000000005,1.255403,40.707188,8.694434,39.344781,27.723966
ENSG00000162551.13,0.003992,0,0.123092,2.302766,0.054469,0.709525
ENSG00000162552.14,0.011755,0.042062,4.769216,4.810244,6.504564,3.5727010000000003
ENSG00000162571.13,7.16e-4,0,2.893675,2.787071,4.304304999999999,3.721893
ENSG00000162572.20,0.003295,0,1.52687,2.757584,1.680719,0.541422
